#{"config": {"calib_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib.yaml", "cli_overrides": ["camera", "config", "debug_metrics", "ema_alpha", "fps", "height", "ransac", "ransac_base_rot", "ransac_base_trans", "rig", "save_poses", "use_weighted_se3", "video", "width"], "config_path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "extrinsics_path_resolved": null, "rig_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_paper.yaml", "runtime": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": false}, "health": {"max_tilt_jump_deg": 15.0}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/v2/poses_v2_simple.csv"}, "ransac": {"A_ref_px2": 12000.0, "adaptive": false, "base_rot_deg": 5.0, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5.0, "trans_max_m": 0.05}, "video": {"device": "1", "fps": 30.0, "height": 1080, "width": 1920}}, "yaml": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": false}, "health": {"max_tilt_jump_deg": 15}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses.csv"}, "ransac": {"A_ref_px2": 12000, "adaptive": false, "base_rot_deg": 5, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5, "trans_max_m": 0.05}, "video": {"device": 2, "fps": 30, "height": 1080, "width": 1920}}}, "files": {"camera_calib": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib.yaml", "sha256": "a3583ec3b05ec4397f74222c4802234f7ee960b25f93061cb951120e268bc42f"}, "config": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "sha256": "9c664548f0c4998345c599764857540af456008cc4bf230d90b575c908eaec28"}, "rig": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_paper.yaml", "sha256": "e4048a572421f174e4670fbb51050d61e65957319f0f3d120df78c66f49c0a91"}}, "git_commit": null, "timestamp": 1764781687.790366}
timestamp,frame,used_ids,decision_margins,rvec_cam_x,rvec_cam_y,rvec_cam_z,tvec_cam_x,tvec_cam_y,tvec_cam_z,rvec_world_x,rvec_world_y,rvec_world_z,tvec_world_x,tvec_world_y,tvec_world_z,tilt_cam_deg,tilt_world_deg
1764781688.028329,0,101;105;109;200;201;202,95.994;91.321;94.077;83.378;87.353;76.428,-0.8619865231674104,0.8535188817198898,1.508237676356836,-0.1399306329957012,0.31456604525354603,0.1260456923944432,,,,,,,62.154,
1764781688.207061,1,101;105;109;200;201;202,96.851;91.845;94.604;83.144;88.291;76.483,-0.8619946576084108,0.8535743654474557,1.5062417107828732,-0.13957937871159343,0.31504992113009656,0.12593217985843222,,,,,,,62.175,
1764781688.371105,2,101;105;109;200;201;202,97.050;92.015;94.876;83.381;88.363;77.468,-0.8625723909609935,0.8534827917270427,1.5059381223099735,-0.13966398156216847,0.3151279041323923,0.1259178317876659,,,,,,,62.195,
1764781688.519449,3,101;105;109;200;201;202,97.227;92.779;94.765;82.671;87.485;77.570,-0.8625601000509711,0.8529522963926347,1.507559906535458,-0.13944441945399869,0.31572409872094526,0.12540068266158064,,,,,,,62.161,
1764781688.664220,4,101;105;109;200;201;202,97.361;93.401;94.639;81.628;87.802;76.998,-0.8618016024710773,0.8529094658008739,1.5071249547274315,-0.13860690235515238,0.3167659914049398,0.12468236170354395,,,,,,,62.137,
1764781688.813168,5,101;105;109;200;201;202,96.779;91.560;94.629;81.989;89.459;77.391,-0.8625514814125118,0.8521281236289223,1.5036379700540594,-0.1381821022178226,0.31609423688155264,0.1251603178778178,,,,,,,62.168,
1764781688.951088,6,101;105;109;200;201;202,96.684;91.763;94.092;80.501;89.398;76.705,-0.8626701130275501,0.8524690785202426,1.499529794637651,-0.13732086008121552,0.31642947320401177,0.12528369113576468,,,,,,,62.222,
1764781689.079988,7,101;105;109;200;201;202,95.596;91.732;94.591;82.605;89.318;74.254,-0.8602887198895645,0.8539169436159572,1.4949236865236684,-0.13746232894466265,0.3167172949743791,0.12526298892086346,,,,,,,62.231,
1764781689.211858,8,101;105;109;200;201;202,96.888;91.670;93.695;84.303;88.208;73.975,-0.8581709047746708,0.855048115241788,1.4954959319186711,-0.13780009940492088,0.3167224724788914,0.125024770018737,,,,,,,62.191,
1764781689.344548,9,101;105;109;200;201;202,96.765;92.165;93.629;85.225;88.223;73.838,-0.8557547599795414,0.8567699721528722,1.496803147899526,-0.13812973287194674,0.31671581366240864,0.1251154279074391,,,,,,,62.154,
1764781689.482562,10,101;105;109;200;201;202,96.918;92.031;94.072;85.622;88.738;74.654,-0.8551313316015239,0.8574939630138207,1.497707105555554,-0.13849006755594898,0.31625507253167723,0.12529910214264559,,,,,,,62.150,
