#{"config": {"calib_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1280x720.yaml", "cli_overrides": ["camera", "config", "debug_metrics", "ekf", "ema_alpha", "extrinsics", "fps", "height", "hud", "print_tilt", "rig", "save_poses", "use_weighted_se3", "video", "width"], "config_path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "extrinsics_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1280x720.yaml", "rig_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "runtime": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.25, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15.0, "spike_reset_after": 10}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/v2/debug_dotec_c920_720p_ekf_spike.csv", "poses_csv": "phase_b/v2/poses_dotec_c920_720p_ekf_spike.csv"}, "ransac": {"A_ref_px2": 12000.0, "adaptive": false, "base_rot_deg": 5.0, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5.0, "trans_max_m": 0.05}, "video": {"device": "0", "fps": 30.0, "height": 720, "width": 1280}}, "yaml": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses.csv"}, "ransac": {"A_ref_px2": 12000, "adaptive": false, "base_rot_deg": 5, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5, "trans_max_m": 0.05}, "video": {"device": 2, "fps": 30, "height": 1080, "width": 1920}}}, "files": {"camera_calib": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1280x720.yaml", "sha256": "573557a42826c5380bc3867f2f28b81a7f2be3c4fe86e1273e5a2173b39064b9"}, "config": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "sha256": "9c664548f0c4998345c599764857540af456008cc4bf230d90b575c908eaec28"}, "extrinsics": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1280x720.yaml", "sha256": "277bbcc38f32afb31f41ecb04e2b07da41211799d8d67942ddf0073810bc1809"}, "rig": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "sha256": "f0fd590bf211070dbb1b2c6b32f4041175f33703203978255bdee60a8b77b6ef"}}, "git_commit": null, "timestamp": 1766331856.024895}
t,fps,n_visible,n_inliers,mean_reproj,ransac_score,weight_min,weight_max,tilt_deg,mean_tag_area_px2,mean_view_cos,mean_reproj_px,ransac_trans_eff,ransac_rot_eff,n_unknown_ids,n_mirror_discards,spike_delta_trans_m,spike_delta_rot_deg,spike_trans_thresh_m,spike_rot_thresh_deg,spike_ref_age_frames,spike_ref_frame_idx
1766331857.963128,15.153,6,6,27.629,0.00000,0.052,0.311,84.700,601.8,0.6672,27.629,0.0500,5.000,0,0,,,,,,
1766331858.029643,15.151,6,6,27.635,0.00000,0.052,0.312,84.685,601.7,0.6662,27.635,0.0500,5.000,0,0,,,,,,
1766331858.095409,15.105,6,6,27.625,0.00000,0.052,0.312,84.707,601.5,0.6673,27.625,0.0500,5.000,0,0,,,,,,
1766331858.166136,14.756,6,6,27.641,0.00000,0.052,0.311,84.667,601.9,0.6670,27.641,0.0500,5.000,0,0,,,,,,
1766331858.230944,15.240,6,6,27.644,0.00000,0.052,0.312,84.708,602.1,0.6667,27.644,0.0500,5.000,0,0,,,,,,
1766331858.296979,15.386,6,6,27.630,0.00000,0.052,0.312,84.706,601.4,0.6670,27.630,0.0500,5.000,0,0,,,,,,
1766331858.361779,15.195,6,6,27.647,0.00000,0.052,0.313,84.717,602.0,0.6669,27.647,0.0500,5.000,0,0,,,,,,
1766331858.428047,15.202,6,6,27.648,0.00000,0.052,0.312,84.730,602.1,0.6668,27.648,0.0500,5.000,0,0,,,,,,
1766331858.496359,15.099,6,6,27.656,0.00000,0.053,0.314,84.683,602.3,0.6661,27.656,0.0500,5.000,0,0,,,,,,
1766331858.563072,14.946,6,6,27.647,0.00000,0.052,0.312,84.683,602.2,0.6666,27.647,0.0500,5.000,0,0,,,,,,
1766331858.627575,15.257,6,6,27.634,0.00000,0.052,0.311,84.688,601.8,0.6670,27.634,0.0500,5.000,0,0,,,,,,
1766331858.697606,15.024,6,6,27.634,0.00000,0.052,0.312,84.651,602.2,0.6673,27.634,0.0500,5.000,0,0,,,,,,
1766331858.760283,15.152,6,6,27.644,0.00000,0.053,0.313,84.660,601.9,0.6665,27.644,0.0500,5.000,0,0,,,,,,
1766331858.827383,15.121,6,6,27.649,0.00000,0.053,0.312,84.698,602.2,0.6669,27.649,0.0500,5.000,0,0,,,,,,
1766331858.892817,15.180,6,6,27.643,0.00000,0.052,0.312,84.733,601.8,0.6664,27.643,0.0500,5.000,0,0,,,,,,
1766331858.960287,15.045,6,6,27.648,0.00000,0.053,0.312,84.765,602.3,0.6671,27.648,0.0500,5.000,0,0,,,,,,
1766331859.025479,15.255,6,6,27.651,0.00000,0.053,0.312,84.763,602.2,0.6666,27.651,0.0500,5.000,0,0,,,,,,
1766331859.092260,14.890,6,6,27.643,0.00000,0.052,0.311,84.788,602.0,0.6669,27.643,0.0500,5.000,0,0,,,,,,
1766331859.158057,15.337,6,6,27.646,0.00000,0.053,0.312,84.771,602.1,0.6669,27.646,0.0500,5.000,0,0,,,,,,
1766331859.224673,15.449,6,6,27.645,0.00000,0.052,0.313,84.784,602.0,0.6664,27.645,0.0500,5.000,0,0,,,,,,
1766331859.289339,14.909,6,6,27.632,0.00000,0.052,0.312,84.803,601.9,0.6669,27.632,0.0500,5.000,0,0,,,,,,
1766331859.354674,15.038,6,6,27.656,0.00000,0.053,0.314,84.764,602.3,0.6663,27.656,0.0500,5.000,0,0,,,,,,
1766331859.421004,15.268,6,6,27.633,0.00000,0.052,0.311,84.755,601.7,0.6667,27.633,0.0500,5.000,0,0,,,,,,
1766331859.487836,15.394,6,6,27.639,0.00000,0.052,0.312,84.748,602.2,0.6669,27.639,0.0500,5.000,0,0,,,,,,
1766331859.554405,15.182,6,6,27.636,0.00000,0.053,0.312,84.747,601.6,0.6662,27.636,0.0500,5.000,0,0,,,,,,
1766331859.617550,15.245,6,6,27.644,0.00000,0.053,0.312,84.748,602.3,0.6666,27.644,0.0500,5.000,0,0,,,,,,
1766331859.684498,14.606,6,6,27.642,0.00000,0.052,0.312,84.775,601.9,0.6665,27.642,0.0500,5.000,0,0,,,,,,
1766331859.751111,15.515,6,6,27.642,0.00000,0.052,0.312,84.760,602.1,0.6671,27.642,0.0500,5.000,0,0,,,,,,
1766331859.822943,14.757,6,6,27.642,0.00000,0.053,0.313,84.748,602.2,0.6664,27.642,0.0500,5.000,0,0,,,,,,
1766331859.895667,15.155,6,6,27.652,0.00000,0.053,0.313,84.737,602.0,0.6662,27.652,0.0500,5.000,0,0,,,,,,
1766331859.954315,15.408,6,6,27.642,0.00000,0.052,0.313,84.745,601.8,0.6664,27.642,0.0500,5.000,0,0,,,,,,
1766331860.082085,7.624,6,6,27.643,0.00000,0.052,0.313,84.723,602.0,0.6667,27.643,0.0500,5.000,0,0,,,,,,
1766331860.148636,14.800,6,6,27.642,0.00000,0.052,0.312,84.735,602.1,0.6670,27.642,0.0500,5.000,0,0,,,,,,
1766331860.211908,15.146,6,6,27.636,0.00000,0.052,0.310,84.764,602.0,0.6669,27.636,0.0500,5.000,0,0,,,,,,
1766331860.278582,15.319,6,6,27.633,0.00000,0.052,0.312,84.753,602.0,0.6672,27.633,0.0500,5.000,0,0,,,,,,
1766331860.345703,15.070,6,6,27.638,0.00000,0.052,0.312,84.769,601.9,0.6667,27.638,0.0500,5.000,0,0,,,,,,
1766331860.411100,15.145,6,6,27.649,0.00000,0.052,0.312,84.753,601.8,0.6668,27.649,0.0500,5.000,0,0,,,,,,
1766331860.477294,15.166,6,6,27.642,0.00000,0.052,0.314,84.756,601.8,0.6666,27.642,0.0500,5.000,0,0,,,,,,
