#{"config": {"calib_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib.yaml", "cli_overrides": ["adapt", "camera", "config", "debug_metrics", "ekf", "ema_alpha", "extrinsics", "fps", "height", "hud", "print_tilt", "ransac", "rig", "save_poses", "use_weighted_se3", "video", "width"], "config_path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "extrinsics_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC.yaml", "rig_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_paper.yaml", "runtime": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.25, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15.0}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/v2/poses_v2_full.csv"}, "ransac": {"A_ref_px2": 12000.0, "adaptive": true, "base_rot_deg": 5.0, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5.0, "trans_max_m": 0.05}, "video": {"device": "0", "fps": 30.0, "height": 1080, "width": 1920}}, "yaml": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses.csv"}, "ransac": {"A_ref_px2": 12000, "adaptive": false, "base_rot_deg": 5, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5, "trans_max_m": 0.05}, "video": {"device": 2, "fps": 30, "height": 1080, "width": 1920}}}, "files": {"camera_calib": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib.yaml", "sha256": "a3583ec3b05ec4397f74222c4802234f7ee960b25f93061cb951120e268bc42f"}, "config": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "sha256": "9c664548f0c4998345c599764857540af456008cc4bf230d90b575c908eaec28"}, "extrinsics": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC.yaml", "sha256": "fe24fb1afd868ebbf0d17c89865e0023b67ad83c862b7efdc4fab8598a079465"}, "rig": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_paper.yaml", "sha256": "e4048a572421f174e4670fbb51050d61e65957319f0f3d120df78c66f49c0a91"}}, "git_commit": null, "timestamp": 1764781077.070817}
timestamp,frame,used_ids,decision_margins,rvec_cam_x,rvec_cam_y,rvec_cam_z,tvec_cam_x,tvec_cam_y,tvec_cam_z,rvec_world_x,rvec_world_y,rvec_world_z,tvec_world_x,tvec_world_y,tvec_world_z,tilt_cam_deg,tilt_world_deg
1764782224.247015,0,101;105;109;200;201;202,97.939;90.695;94.866;81.136;88.392;76.333,-0.6528935016192166,1.0558035624804234,1.9530708970548218,-0.28671134601335646,0.11260886240796618,0.26402643031602746,1.0196644963091308,-1.2626837357088654,-1.8792158627924591,0.06071341651446052,-0.3226844526006122,-0.22530318081565406,58.834,76.415
1764782224.481955,1,101;105;109;200;201;202,97.885;91.400;94.268;81.216;87.392;76.054,-0.6447459570362084,1.0644308949875252,1.958132674110544,-0.29193822246458245,0.1039568181254127,0.2696793193068373,1.012545738015357,-1.2708709714230448,-1.8864175229360998,0.06000665248258891,-0.33357155082992707,-0.2193970622933876,58.914,76.382
1764782224.640221,2,101;105;109;200;201;202,98.007;90.948;94.265;80.183;88.028;75.044,-0.6386091106959016,1.0714177876482716,1.9604391078415966,-0.29592033464221934,0.09742237234923647,0.27424916539225996,1.0069253011153034,-1.2777308579171347,-1.8903339300729716,0.05981310176834956,-0.3422018789830544,-0.2145637425437186,59.013,76.398
1764782224.808329,3,101;105;109;200;201;202,98.356;92.015;94.613;78.709;86.308;78.618,-0.6355264750749116,1.0752403707111087,1.9633424996114355,-0.2992097957850997,0.09286545213010326,0.2771381974561196,1.0044279252603658,-1.2812343211061157,-1.8941098959839573,0.05927795505381803,-0.34811525137437516,-0.21175884492169078,59.055,76.388
1764782224.965517,4,101;105;109;200;201;202,98.087;91.694;95.497;78.793;87.476;78.844,-0.6331786650631922,1.0786915471482934,1.964176883438303,-0.3017967341003767,0.08943763141251218,0.2795924902964225,1.0022945204842937,-1.2846324550376966,-1.8956106748460972,0.05920329515442699,-0.3530204889761123,-0.20931468442831802,59.125,76.421
1764782225.129461,5,101;105;109;200;201;202,97.542;91.396;94.705;79.089;86.451;77.635,-0.6302864936128013,1.0820484144052744,1.9654866071512302,-0.3039234710302637,0.0859979851923609,0.28211910718386707,0.9996863535050855,-1.287893669810646,-1.897690893561209,0.05917816147661073,-0.3575598179160267,-0.20686806988000406,59.173,76.428
1764782225.262882,6,101;105;109;200;201;202,97.119;91.927;94.119;79.784;88.154;77.375,-0.6272360340672661,1.0850688246437394,1.9677704406538274,-0.3056342728420646,0.08293368502084791,0.2844225792251905,0.9970806587120274,-1.2906887746335205,-1.9007767163180969,0.0589307641437207,-0.36139073323772836,-0.20491367734573,59.195,76.404
1764782225.392521,7,101;105;109;200;201;202,97.185;91.510;94.473;79.934;88.005;77.446,-0.6253505450790622,1.0865307507874045,1.9678321270310752,-0.30702911536417654,0.08111747265978043,0.28583125644810636,0.995211383970059,-1.2922102234038597,-1.9012744021238914,0.058880523976144,-0.3641109517544243,-0.20356865667366958,59.208,76.399
1764782225.527582,8,101;105;109;200;201;202,97.243;91.378;94.037;80.769;87.171;79.910,-0.622541594473701,1.0883181765681558,1.9703399188406419,-0.30795460806271446,0.0789420030044463,0.2875149990666004,0.9928508803497555,-1.2937425228466026,-1.9044669725812482,0.05857718508554868,-0.3665270373702629,-0.20238050183760675,59.185,76.338
1764782225.666394,9,101;105;109;200;201;202,97.209;91.554;94.463;80.058;87.719;78.904,-0.6207721610173972,1.0898391879595204,1.9713000816365964,-0.30877833466119414,0.07736194524220812,0.28877431216107363,0.9912649017336839,-1.2951867475406886,-1.9058689460810694,0.05851007614217918,-0.3685274221282551,-0.20131572755810426,59.194,76.323
