#{"config": {"calib_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib.yaml", "cli_overrides": ["adapt", "camera", "config", "debug_metrics", "ekf", "ema_alpha", "extrinsics", "fps", "height", "print_tilt", "ransac", "rig", "save_poses", "use_weighted_se3", "video", "width"], "config_path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "extrinsics_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC.yaml", "rig_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "runtime": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.25, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15.0}, "hud": {"enabled": false}, "logging": {"debug_metrics_csv": "phase_b/v2/debug_dotec_fixed_T_W.csv", "poses_csv": "phase_b/v2/poses_dotec_fixed_T_W.csv"}, "ransac": {"A_ref_px2": 12000.0, "adaptive": true, "base_rot_deg": 5.0, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5.0, "trans_max_m": 0.05}, "video": {"device": "1", "fps": 30.0, "height": 1080, "width": 1920}}, "yaml": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses.csv"}, "ransac": {"A_ref_px2": 12000, "adaptive": false, "base_rot_deg": 5, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5, "trans_max_m": 0.05}, "video": {"device": 2, "fps": 30, "height": 1080, "width": 1920}}}, "files": {"camera_calib": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib.yaml", "sha256": "a3583ec3b05ec4397f74222c4802234f7ee960b25f93061cb951120e268bc42f"}, "config": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "sha256": "9c664548f0c4998345c599764857540af456008cc4bf230d90b575c908eaec28"}, "extrinsics": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC.yaml", "sha256": "f8ed97686a29d0423f381c06cc257bb942228531fd267daa2844891945dbf794"}, "rig": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "sha256": "9736191d05aabb632fd2ee895ca3674d0f4aef8ce615de526d190722fdc258ff"}}, "git_commit": null, "timestamp": 1765380512.9418292}
timestamp,frame,used_ids,decision_margins,rvec_cam_x,rvec_cam_y,rvec_cam_z,tvec_cam_x,tvec_cam_y,tvec_cam_z,rvec_world_x,rvec_world_y,rvec_world_z,tvec_world_x,tvec_world_y,tvec_world_z,tilt_cam_deg,tilt_world_deg
1765380513.066147,0,103;108;109;200;201;202,45.614;51.161;52.095;71.561;81.761;78.381,-0.9952146457773995,0.9673734345682932,-1.6318933536369389,-0.24252860131351056,0.08225157373767833,0.5229351193143661,0.26697497812441173,-0.3861979739721878,2.084448799357204,-0.07176245829941581,0.555359612131008,1.0402269724532827,69.313,22.206
1765380513.166359,1,103;108;109;200;201;202,45.614;51.161;52.095;71.561;81.761;78.381,-0.9952146457773995,0.9673734345682932,-1.6318933536369389,-0.24252860131351056,0.08225157373767833,0.5229351193143661,0.26697497812441173,-0.3861979739721878,2.084448799357204,-0.07176245829941581,0.555359612131008,1.0402269724532827,69.313,22.206
1765380513.269475,2,103;108;109;200;201;202,45.614;51.161;52.095;71.561;81.761;78.381,-0.9952146457773995,0.9673734345682932,-1.6318933536369389,-0.24252860131351056,0.08225157373767833,0.5229351193143661,0.26697497812441173,-0.3861979739721878,2.084448799357204,-0.07176245829941581,0.555359612131008,1.0402269724532827,69.313,22.206
1765380513.382198,3,103;108;109;200;201;202,45.614;51.161;52.095;71.561;81.761;78.381,-0.9952146457773995,0.9673734345682932,-1.6318933536369389,-0.24252860131351056,0.08225157373767833,0.5229351193143661,0.26697497812441173,-0.3861979739721878,2.084448799357204,-0.07176245829941581,0.555359612131008,1.0402269724532827,69.313,22.206
1765380513.526394,4,103;108;109;200;201;202,45.614;51.161;52.095;71.561;81.761;78.381,-0.9952146457773995,0.9673734345682932,-1.6318933536369389,-0.24252860131351056,0.08225157373767833,0.5229351193143661,0.26697497812441173,-0.3861979739721878,2.084448799357204,-0.07176245829941581,0.555359612131008,1.0402269724532827,69.313,22.206
1765380513.677153,5,103;108;109;200;201;202,45.614;51.161;52.095;71.561;81.761;78.381,-0.9952146457773995,0.9673734345682932,-1.6318933536369389,-0.24252860131351056,0.08225157373767833,0.5229351193143661,0.26697497812441173,-0.3861979739721878,2.084448799357204,-0.07176245829941581,0.555359612131008,1.0402269724532827,69.313,22.206
1765380513.813968,6,103;108;109;200;201;202,45.614;51.161;52.095;71.561;81.761;78.381,-0.9952146457773995,0.9673734345682932,-1.6318933536369389,-0.24252860131351056,0.08225157373767833,0.5229351193143661,0.26697497812441173,-0.3861979739721878,2.084448799357204,-0.07176245829941581,0.555359612131008,1.0402269724532827,69.313,22.206
1765380513.944701,7,103;108;109;200;201;202,45.614;51.161;52.095;71.561;81.761;78.381,-0.9952146457773995,0.9673734345682932,-1.6318933536369389,-0.24252860131351056,0.08225157373767833,0.5229351193143661,0.26697497812441173,-0.3861979739721878,2.084448799357204,-0.07176245829941581,0.555359612131008,1.0402269724532827,69.313,22.206
1765380514.092487,8,103;108;109;200;201;202,45.614;51.161;52.095;71.561;81.761;78.381,-0.9952146457773995,0.9673734345682932,-1.6318933536369389,-0.24252860131351056,0.08225157373767833,0.5229351193143661,0.26697497812441173,-0.3861979739721878,2.084448799357204,-0.07176245829941581,0.555359612131008,1.0402269724532827,69.313,22.206
1765380514.390256,9,103;108;109;200;201;202,45.614;51.161;52.095;71.561;81.761;78.381,-0.9952146457773995,0.9673734345682932,-1.6318933536369389,-0.24252860131351056,0.08225157373767833,0.5229351193143661,0.26697497812441173,-0.3861979739721878,2.084448799357204,-0.07176245829941581,0.555359612131008,1.0402269724532827,69.313,22.206
