#{"config": {"calib_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1280x720.yaml", "cli_overrides": ["camera", "config", "debug_metrics", "ekf", "ema_alpha", "extrinsics", "fps", "height", "hud", "print_tilt", "rig", "save_poses", "use_weighted_se3", "video", "width"], "config_path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "extrinsics_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1280x720.yaml", "rig_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "runtime": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.25, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15.0}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/v2/debug_dotec_c920_720p.csv", "poses_csv": "phase_b/v2/poses_dotec_c920_720p.csv"}, "ransac": {"A_ref_px2": 12000.0, "adaptive": false, "base_rot_deg": 5.0, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5.0, "trans_max_m": 0.05}, "video": {"device": "0", "fps": 30.0, "height": 720, "width": 1280}}, "yaml": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses.csv"}, "ransac": {"A_ref_px2": 12000, "adaptive": false, "base_rot_deg": 5, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5, "trans_max_m": 0.05}, "video": {"device": 2, "fps": 30, "height": 1080, "width": 1920}}}, "files": {"camera_calib": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1280x720.yaml", "sha256": "573557a42826c5380bc3867f2f28b81a7f2be3c4fe86e1273e5a2173b39064b9"}, "config": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "sha256": "9c664548f0c4998345c599764857540af456008cc4bf230d90b575c908eaec28"}, "extrinsics": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1280x720.yaml", "sha256": "277bbcc38f32afb31f41ecb04e2b07da41211799d8d67942ddf0073810bc1809"}, "rig": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "sha256": "f0fd590bf211070dbb1b2c6b32f4041175f33703203978255bdee60a8b77b6ef"}}, "git_commit": null, "timestamp": 1766251439.63643}
timestamp,frame,used_ids,decision_margins,rvec_cam_x,rvec_cam_y,rvec_cam_z,tvec_cam_x,tvec_cam_y,tvec_cam_z,rvec_world_x,rvec_world_y,rvec_world_z,tvec_world_x,tvec_world_y,tvec_world_z,tilt_cam_deg,tilt_world_deg
1766251439.822580,0,101;102;103;104;200;201;202,31.945;70.488;68.322;55.196;72.928;64.261;74.689,0.23680514604366207,-1.3267764877051202,-0.4904114297862645,-0.9749501578491135,0.8016180983685681,0.41722265084436094,0.19137053035634416,-0.9868301117181643,1.4332675127633188,0.7018563252258058,1.146662917579945,1.8678016064514478,76.280,52.315
1766251440.144157,1,102;103;104;200;202,51.540;49.998;42.871;48.927;42.120,0.15361349337716432,-1.5778264835108344,-0.6729501625222323,-0.8474642994380382,0.899003572482791,0.30131962784421956,-0.08679002229556398,-0.8504726808736528,1.6141711290662648,0.6544573014693812,1.1899678347740468,1.7527374742061972,88.574,43.487
1766251440.323220,2,101;102;103;104;200;201;202,36.157;71.327;69.941;55.474;72.993;65.001;76.009,0.1908209409161501,-1.5141458612240661,-0.6369412508331209,-0.8864819025709683,0.8869097586130297,0.3190828681596466,-0.029664693753131282,-0.8956530241846357,1.5611528353883393,0.6703514471923543,1.170766779163847,1.805268371150732,85.537,45.907
1766251440.428606,3,101;102;103;104;200;201;202,35.015;70.505;68.958;53.666;72.437;64.668;76.152,0.2195274221402481,-1.4663146588715632,-0.6105291120984079,-0.9186860729513563,0.8762941505760871,0.33252186695531766,0.011706768756063881,-0.9289808472472767,1.5195022663680349,0.6816941071012304,1.1556053738223862,1.8467789577058689,83.277,47.848
1766251440.566021,4,101;102;103;104;200;201;202,35.937;70.696;69.781;54.721;72.184;65.352;76.597,0.24337173771070966,-1.4271510377535934,-0.5890137656569043,-0.9467418469796338,0.8661981545018815,0.34380277859078306,0.044866430981918115,-0.9556949868164267,1.4842797169559947,0.6905877914529651,1.1426284894275036,1.8816489088878583,81.447,49.492
1766251440.732765,5,101;102;103;104;200;201;202,39.008;71.270;70.299;53.660;72.916;64.712;74.214,0.26127736265197654,-1.3994653214088624,-0.5751049191705411,-0.9678996942327219,0.8599667647003917,0.3505366238656508,0.06657149920430276,-0.9750565744963404,1.4584659485968379,0.6969012295538111,1.1319864401552806,1.9095522143095425,80.171,50.717
1766251440.822849,6,101;102;103;104;200;201;202,34.825;70.661;69.157;53.355;71.562;63.901;75.105,0.27575728185542764,-1.3773059506374712,-0.5645606480824429,-0.9863846691095101,0.854049949714533,0.3564313638574499,0.08325248885380952,-0.990666125997875,1.4376128942917383,0.7010775760248018,1.1243704075508214,1.9325567780812758,79.159,51.720
1766251440.920624,7,101;102;103;104;200;201;202,37.442;70.562;68.987;54.302;72.786;65.411;76.607,0.2880185823079206,-1.360644279984059,-0.5568344225369195,-1.0020494687884034,0.849282868270388,0.36011134775515535,0.09493166780093511,-1.0025832198977458,1.4206673064984898,0.7041117082481545,1.1181060351993857,1.9518113164485154,78.420,52.499
1766251441.024099,8,101;102;103;104;200;201;202,34.536;70.865;70.117;56.044;71.066;63.771;75.480,0.2971723325017766,-1.350167142213992,-0.5521366360142422,-1.0153599076932578,0.8460436471002353,0.3620141246736327,0.10145917130584389,-1.0103077389098631,1.4087563783626296,0.7058749546160513,1.1152731176357695,1.9666793122926114,77.976,53.009
1766251441.133287,9,101;102;103;104;200;201;202,37.316;71.187;69.637;56.717;71.064;63.804;76.744,0.3048912687491575,-1.3415743380405516,-0.548498179342245,-1.0255844831373877,0.8438471499181415,0.36318020341643514,0.10651716910834574,-1.0167468556557777,1.3988406008714838,0.7076370938834371,1.1117824710209496,1.979108541047089,77.617,53.433
