#{"config": {"calib_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib.yaml", "cli_overrides": ["bench", "camera", "fps", "height", "rig", "save_poses", "v1_compat", "video", "width"], "config_path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "extrinsics_path_resolved": null, "rig_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_paper.yaml", "runtime": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": false}, "health": {"max_tilt_jump_deg": 15.0}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses_v1compat.csv"}, "ransac": {"A_ref_px2": 12000.0, "adaptive": false, "base_rot_deg": 5.0, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5.0, "trans_max_m": 0.05}, "video": {"device": "0", "fps": 30.0, "height": 1080, "width": 1920}}, "yaml": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses.csv"}, "ransac": {"A_ref_px2": 12000, "adaptive": false, "base_rot_deg": 5, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5, "trans_max_m": 0.05}, "video": {"device": 2, "fps": 30, "height": 1080, "width": 1920}}}, "files": {"camera_calib": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib.yaml", "sha256": "a3583ec3b05ec4397f74222c4802234f7ee960b25f93061cb951120e268bc42f"}, "config": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "sha256": "9c664548f0c4998345c599764857540af456008cc4bf230d90b575c908eaec28"}, "rig": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_paper.yaml", "sha256": "e4048a572421f174e4670fbb51050d61e65957319f0f3d120df78c66f49c0a91"}}, "git_commit": null, "timestamp": 1763047560.330883}
timestamp,frame,used_ids,decision_margins,rvec_cam_x,rvec_cam_y,rvec_cam_z,tvec_cam_x,tvec_cam_y,tvec_cam_z,rvec_world_x,rvec_world_y,rvec_world_z,tvec_world_x,tvec_world_y,tvec_world_z,tilt_cam_deg,tilt_world_deg
1763047560.696793,0,107;108;110;200;201;202,53.003;55.860;42.618;88.041;83.536;60.929,-0.07312411817986345,-0.4238525452084476,-2.734857870537969,-0.09086827978938147,0.2841449636098393,0.1781217832869841,,,,,,,17.563,
1763047561.095798,1,107;108;110;200;201;202,55.189;56.703;46.340;88.123;83.111;59.012,-0.07880659603053466,-0.42876632609087467,-2.732581196586272,-0.09069032387636108,0.28665814765042513,0.17650571829440423,,,,,,,17.809,
1763047561.316529,2,107;108;200;201;202,59.463;61.199;88.319;83.131;54.274,-0.05210899100576313,-0.43890825210612855,-2.7686338716681753,-0.10257311263633853,0.27584324880867583,0.19001918432617906,,,,,,,17.880,
1763047561.489534,3,107;108;200;201;202,59.463;61.199;88.319;83.131;54.274,-0.05210899100576313,-0.43890825210612855,-2.7686338716681753,-0.10257311263633853,0.27584324880867583,0.19001918432617906,,,,,,,17.880,
1763047561.658543,4,107;108;110;200;201;202,58.759;59.586;42.965;87.870;83.465;58.632,-0.06291454455441359,-0.4425129418419456,-2.7599295300481383,-0.10010229266036874,0.2823072820298853,0.18539875099932132,,,,,,,18.122,
1763047561.806105,5,107;108;110;200;201,58.994;61.182;44.672;91.799;82.098,-0.13029361855722582,-0.4932314155968605,-2.760183630123362,-0.11450773420990394,0.3060624257943074,0.16878761032364603,,,,,,,20.647,
1763047561.924167,6,107;108;110;200;201,56.450;60.188;40.979;94.236;83.624,-0.17246558011571955,-0.5285964641682835,-2.762280899562748,-0.12564177176767422,0.3196990173464978,0.1591779570462315,,,,,,,22.460,
1763047562.057932,7,107;108;110;200;201;202,55.471;58.857;46.119;88.909;83.484;49.848,-0.15513851582153387,-0.5093622660327943,-2.754990950116511,-0.11797376031981688,0.31442564634997705,0.16158365304076971,,,,,,,21.567,
1763047562.194051,8,107;108;110;200;201,56.757;60.947;44.001;86.021;81.774,-0.19540877710414592,-0.5360229043175585,-2.752628827514642,-0.1285163986289631,0.3304866965774899,0.15168800953806807,,,,,,,23.096,
1763047562.329551,9,107;108;110;200;201,56.757;60.947;44.001;86.021;81.774,-0.19540877710414592,-0.5360229043175585,-2.752628827514642,-0.1285163986289631,0.3304866965774899,0.15168800953806807,,,,,,,23.096,
1763047562.447733,10,107;108;110;200;201;202,60.368;60.412;45.017;86.120;83.248;48.100,-0.1762750852578169,-0.5169948925828958,-2.7485089203952984,-0.12114054257026066,0.3251880742373601,0.15513621062797237,,,,,,,22.153,
1763047562.549604,11,107;108;110;200;201;202,58.353;63.559;44.638;86.853;83.599;54.694,-0.15430080471997418,-0.5019745538142915,-2.749020616976556,-0.11511602282384242,0.31960657253256486,0.15928076305714015,,,,,,,21.309,
1763047562.679264,12,107;108;110;200;201;202,58.353;63.559;44.638;86.853;83.599;54.694,-0.15430080471997418,-0.5019745538142915,-2.749020616976556,-0.11511602282384242,0.31960657253256486,0.15928076305714015,,,,,,,21.309,
1763047562.825680,13,107;108;110;200;201;202,58.690;59.561;42.746;89.838;84.068;53.828,-0.13914589827186516,-0.48972170511432195,-2.7473231352626635,-0.11030400881189126,0.31308339827778287,0.1630618573937315,,,,,,,20.677,
1763047562.972294,14,107;108;110;200;201;202,59.450;61.961;38.957;90.061;80.560;57.637,-0.26528828892203443,-0.4866781501555686,-2.736683660093427,-0.11872228239585894,0.3071376277118279,0.17329837847953974,,,,,,,22.546,
1763047563.107828,15,107;108;110;200;201;202,58.632;59.929;49.647;85.360;80.802;53.684,-0.22116143050794485,-0.4816129675294571,-2.7353482707790313,-0.11151556357390352,0.3077883312592169,0.16916992786462204,,,,,,,21.581,
1763047563.238124,16,107;108;110;200;201;202,58.398;59.822;43.964;84.322;83.412;50.984,-0.1902695058222093,-0.4755031612609924,-2.735948371833779,-0.10883176867755527,0.30850065668016247,0.16883464982257604,,,,,,,20.863,
1763047563.462605,17,107;108;110;200;201;202,61.810;57.898;42.322;90.856;83.361;51.306,-0.1685961419009225,-0.47399804896958303,-2.7379288844531717,-0.10559688937220499,0.30618091959953464,0.16919120548810548,,,,,,,20.488,
1763047563.573048,18,107;108;110;200;201,59.889;60.060;43.169;84.678;82.644,-0.20876313336324182,-0.5114427855459021,-2.738723250231731,-0.12005374861852161,0.3258926488615041,0.15723528179288662,,,,,,,22.459,
1763047563.693844,19,107;108;110;200;201;202,58.182;61.951;41.963;90.495;82.506;54.637,-0.1741249049291941,-0.49999358353526197,-2.7457753333917236,-0.11376308102743074,0.31738270350331277,0.16148527619439054,,,,,,,21.500,
1763047563.784778,20,107;108;110;200;201,58.167;60.452;45.215;89.844;85.437,-0.20967531343012702,-0.5263349781071336,-2.7439019080459017,-0.12510844479090374,0.3309839473737009,0.1523006616118814,,,,,,,22.992,
1763047563.882992,21,107;108;110;200;201,58.648;62.266;42.208;85.012;85.768,-0.2350784164876691,-0.5443936830970763,-2.7421520209131667,-0.13512612607156524,0.3430775880752338,0.14679694510268432,,,,,,,24.055,
1763047563.983672,22,107;108;110;200;201;202,61.431;59.036;43.658;93.065;82.001;53.162,-0.19712630153497823,-0.5246018805799237,-2.7447632968128124,-0.12313872737099653,0.3295063755626005,0.15300868639444154,,,,,,,22.742,
1763047564.082627,23,107;108;110;200;201;202,60.541;59.855;40.954;88.216;81.620;51.022,-0.17100302326232528,-0.5116166315966328,-2.746701580957609,-0.11671647419027803,0.32189003142787354,0.15794164516168877,,,,,,,21.893,
1763047564.181400,24,107;108;110;200;201;202,56.171;59.744;41.719;84.369;83.490;54.777,-0.14926567266854338,-0.4935941842001487,-2.745253505852559,-0.11214678677249706,0.3158582382512413,0.16280342294809524,,,,,,,20.951,
1763047564.278991,25,107;108;110;200;201,60.556;56.877;44.502;94.989;76.476,-0.1929584723939247,-0.5364109251901695,-2.749987240960413,-0.12023140000548825,0.3267892298128395,0.1517342702244007,,,,,,,23.094,
1763047564.381737,26,107;108;110;200;201;202,56.997;59.151;47.456;85.231;84.762;56.698,-0.1674827406473836,-0.5088590405937493,-2.7421061110819096,-0.11277611483027083,0.31996794156207314,0.157096564262291,,,,,,,21.771,
1763047564.482345,27,107;108;110;200;201;202,61.389;62.095;39.727;90.374;79.500;52.924,-0.14846006704768278,-0.5043982035586673,-2.750484723513963,-0.10889844536158337,0.313940110049352,0.1610686680969036,,,,,,,21.326,
1763047564.579544,28,107;108;200;201;202,57.705;60.052;82.138;81.789;56.802,-0.26228899823541435,-0.4885359946246512,-2.761917889841513,-0.1293772584511384,0.29742771029712234,0.18795399321422512,,,,,,,22.402,
1763047564.685377,29,107;108;200;201;202,58.972;62.737;88.839;82.409;56.441,-0.17816000086829392,-0.48198004578726567,-2.794391611587043,-0.12899812368905206,0.2843654173207922,0.1973312646423475,,,,,,,20.602,
1763047564.779261,30,107;108;110;200;201,56.667;59.896;45.841;87.561;78.609,-0.21264192490386413,-0.5220736623472598,-2.7805676691140526,-0.13377285005112705,0.3098888778339152,0.17687508414031766,,,,,,,22.652,
1763047564.873267,31,107;108;110;200;201;202,57.911;61.559;44.926;85.964;82.701;49.372,-0.18455430534942896,-0.5089837370257813,-2.770206608177087,-0.12497989348025129,0.309564050969515,0.1728317616935242,,,,,,,21.833,
1763047564.975774,32,107;108;110;200;201;202,62.617;62.017;41.667;86.116;80.747;48.939,-0.16636718090528638,-0.5038537192649761,-2.7649394928781024,-0.11889713720995532,0.31035515853804335,0.17037181300557358,,,,,,,21.435,
1763047565.074568,33,107;108;110;200;201;202,59.796;55.801;41.213;84.698;78.143;55.035,-0.28808318031064883,-0.4926813070138633,-2.7397184747053545,-0.12231109373212755,0.3072605347799275,0.17773975449648347,,,,,,,23.184,
1763047565.169980,34,107;108;110;200;201,56.782;61.306;45.827;82.066;83.241,-0.29322526712065367,-0.5222591203476787,-2.737030645148466,-0.1326062680266701,0.3287859712332948,0.1635923396152396,,,,,,,24.326,
1763047565.270502,35,107;108;110;200;201;202,57.776;59.973;42.420;87.430;85.522;53.599,-0.2354097072540645,-0.5022607070694789,-2.7394417689750816,-0.12334564063222912,0.32000001475693335,0.16536519451916842,,,,,,,22.546,
1763047565.369176,36,107;108;110;200;201;202,58.825;56.516;42.428;87.292;83.591;61.362,-0.19067556347884862,-0.48169673570694244,-2.7369755518116055,-0.1135303881834252,0.31113855859225376,0.16807737238426368,,,,,,,21.094,
1763047565.466784,37,107;108;110;200;201,60.447;60.443;43.813;87.126;80.312,-0.2225228671588318,-0.522419799375633,-2.740736594805899,-0.12479390219155054,0.3286063682341727,0.15600845473350833,,,,,,,23.063,
1763047565.578357,38,107;108;110;200;201;202,61.520;58.084;38.314;93.679;78.008;53.946,-0.18518749084294364,-0.512942843634215,-2.7493046674478143,-0.11552233954990972,0.3166768993161101,0.16100363187534972,,,,,,,22.114,
1763047565.663053,39,107;108;110;200;201,58.798;58.788;41.345;90.027;80.347,-0.21591266578336796,-0.5424893594480537,-2.751793708697664,-0.12580354672993152,0.3291663160711507,0.15227359445768057,,,,,,,23.632,
1763047565.777668,40,107;108;110;200;201;202,59.469;62.651;40.477;92.975;81.310;52.207,-0.18051149424001972,-0.5272599219222127,-2.7578515911366805,-0.11863557176045852,0.3192852673149438,0.1576844182711978,,,,,,,22.538,
1763047565.865084,41,107;108;200;201,59.161;57.564;90.255;83.736,-0.1834137640988321,-0.5482690040426809,-2.7902687041757397,-0.1403345862636635,0.31689618220496996,0.16788454551870483,,,,,,,23.159,
1763047566.000537,42,107;108;110;200;201;202,56.656;59.400;41.557;82.962;82.379;51.008,-0.16092392467263153,-0.5200177431882355,-2.7760329419651706,-0.12933606862101554,0.3130528661604764,0.1685098683832273,,,,,,,21.915,
1763047566.162705,43,107;108;110;200;201;202,61.236;61.858;42.597;89.157;82.115;51.168,-0.1475333721025325,-0.5093308546816249,-2.7694204651530825,-0.12102458863726931,0.3109101378194037,0.16811760836883918,,,,,,,21.395,
1763047566.429036,44,107;108;110;200;201;202,59.259;61.161;45.369;92.400;79.562;52.106,-0.1358792293270709,-0.5057150646477483,-2.765995290254306,-0.11368894179152353,0.3076795354637227,0.16721822368855008,,,,,,,21.152,
1763047566.578269,45,107;108;110;200;201;202,60.365;56.346;45.833;87.262;79.527;51.436,-0.1326514032229802,-0.495450980701704,-2.7553021395284043,-0.10737751526592869,0.3068458729452276,0.16660699656967015,,,,,,,20.784,
1763047566.731746,46,107;108;110;200;201;202,54.124;58.300;38.806;91.989;80.737;53.132,-0.11732158954093762,-0.4876517745693468,-2.758323317536584,-0.10476386785767525,0.30052736671184016,0.16988477318278097,,,,,,,20.315,
1763047566.939461,47,107;108;110;200;201,56.428;62.075;40.223;87.274;84.594,-0.16601835131986933,-0.52016706649193,-2.7587590610743646,-0.12107326858101208,0.31951696083808545,0.15979517147174335,,,,,,,22.084,
1763047567.134509,48,107;108;110;200;201,59.174;58.303;47.527;85.235;85.393,-0.2091201719482011,-0.5365632135975802,-2.745219554375703,-0.12942926356043102,0.33553975689297644,0.14996601623666492,,,,,,,23.355,
1763047567.304394,49,107;108;110;200;201;202,59.588;54.355;41.996;92.911;82.268;53.865,-0.31231208446555997,-0.5141191978020494,-2.725684650140977,-0.12974116204096645,0.32202618764452107,0.16491609290073014,,,,,,,24.504,
1763047567.423098,50,107;108;110;200;201;202,59.303;56.734;38.161;91.298;80.631;53.006,-0.2486253207299664,-0.5017283245167783,-2.7354714737078916,-0.11969820627783381,0.31228786576823286,0.16669224972233612,,,,,,,22.780,
1763047567.512547,51,107;108;110;200;201;202,58.952;58.683;47.180;88.068;83.875;51.212,-0.21011959464004124,-0.48943166819564066,-2.7342020547645767,-0.11315717632249854,0.3106724446144327,0.16566002310412556,,,,,,,21.694,
1763047567.612892,52,107;108;110;200;201;202,58.082;60.596;46.090;92.456;83.708;51.358,-0.18121686763869943,-0.4856171752503979,-2.738357947661273,-0.10883809810188338,0.3076516789340322,0.16614373870541982,,,,,,,21.097,
