#{"config": {"calib_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1280x720.yaml", "cli_overrides": ["camera", "debug_metrics", "ekf", "ema_alpha", "extrinsics", "fps", "height", "print_tilt", "rig", "save_poses", "use_weighted_se3", "video", "width"], "config_path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "extrinsics_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1280x720.yaml", "rig_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "runtime": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.25, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15.0}, "hud": {"enabled": false}, "logging": {"debug_metrics_csv": "demo_runs/c920/debug_720p.csv", "poses_csv": "demo_runs/c920/poses_720p.csv"}, "ransac": {"A_ref_px2": 12000.0, "adaptive": false, "base_rot_deg": 5.0, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5.0, "trans_max_m": 0.05}, "video": {"device": "0", "fps": 30.0, "height": 720, "width": 1280}}, "yaml": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses.csv"}, "ransac": {"A_ref_px2": 12000, "adaptive": false, "base_rot_deg": 5, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5, "trans_max_m": 0.05}, "video": {"device": 2, "fps": 30, "height": 1080, "width": 1920}}}, "files": {"camera_calib": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1280x720.yaml", "sha256": "573557a42826c5380bc3867f2f28b81a7f2be3c4fe86e1273e5a2173b39064b9"}, "config": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "sha256": "9c664548f0c4998345c599764857540af456008cc4bf230d90b575c908eaec28"}, "extrinsics": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1280x720.yaml", "sha256": "277bbcc38f32afb31f41ecb04e2b07da41211799d8d67942ddf0073810bc1809"}, "rig": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "sha256": "f0fd590bf211070dbb1b2c6b32f4041175f33703203978255bdee60a8b77b6ef"}}, "git_commit": null, "timestamp": 1766248842.953352}
timestamp,frame,used_ids,decision_margins,rvec_cam_x,rvec_cam_y,rvec_cam_z,tvec_cam_x,tvec_cam_y,tvec_cam_z,rvec_world_x,rvec_world_y,rvec_world_z,tvec_world_x,tvec_world_y,tvec_world_z,tilt_cam_deg,tilt_world_deg
1766248843.027180,0,101;102;103;104;200;201;202,36.657;70.287;68.534;56.401;70.965;64.253;76.644,0.22377875004795625,-1.342151255937752,-0.5100920193970317,-0.9594153013105141,0.8235903934161927,0.40724673198404204,0.1716845895141996,-0.9826387949339193,1.455187549508654,0.7010372233232279,1.147443679658931,1.8659949551416686,76.931,51.768
1766248843.128414,1,101;102;103;104;200;201;202,41.116;70.933;69.275;55.471;69.582;61.944;78.648,0.24320008408003238,-1.3352976865872417,-0.5151176762502127,-0.9779541059395007,0.8261067069010676,0.3996730625743336,0.16388341979782556,-0.9944645257148578,1.438699904575854,0.7034370959828992,1.1383021214355253,1.896285808255057,76.718,52.412
1766248843.283665,2,102;103;104;200;202,48.636;46.684;39.012;50.488;48.155,0.15706633802839706,-1.5872353249842992,-0.6951860908199012,-0.842236639947818,0.9195365796634153,0.28490141480423875,-0.11225219114681224,-0.8535969290934474,1.6196744019212928,0.6541472487574258,1.1846658058507489,1.775218029606493,88.957,43.754
1766248843.450403,3,101;102;103;104;200;201;202,36.112;70.970;69.392;57.255;69.989;64.448;76.939,0.19158795733824652,-1.5240616616690588,-0.6585649485044427,-0.8816455694003397,0.9066240934512494,0.3048656312588119,-0.05379803193246491,-0.8979245722210248,1.5692372291919225,0.6689628202295071,1.1676706121174338,1.8236254951404913,85.955,46.023
1766248843.597624,4,101;102;103;104;200;201;202,34.742;70.527;68.665;56.281;70.121;64.466;75.914,0.21795326710852672,-1.4750071858217253,-0.6313114687769761,-0.912613215196621,0.8969169836364373,0.3202409546317337,-0.009854773636576669,-0.9317970586410376,1.5294030685899243,0.6807101133646476,1.1525811856848918,1.8632403437876368,83.626,47.921
1766248843.665319,5,101;102;103;104;200;201;202,37.396;70.973;68.730;54.550;70.348;64.160;76.528,0.23954096492987154,-1.4375235724328201,-0.6102005641750142,-0.9393458773922978,0.8871051706368571,0.33188978227032095,0.022938597638985193,-0.9571526107644952,1.4968142684968007,0.6887942727364826,1.1409023597077077,1.894879527694636,81.872,49.439
1766248843.728421,6,101;102;103;104;200;201;202,34.584;70.971;69.526;57.538;70.474;65.199;75.858,0.25646334551180255,-1.4086263945913142,-0.5943216326872464,-0.9625176988338523,0.8785153530939925,0.3413071132473584,0.04752475057364458,-0.9765671577050562,1.4711039707493718,0.6942522447539479,1.1331400292249738,1.9206425904498754,80.531,50.649
1766248843.790197,7,101;102;103;104;200;201;202,36.971;70.774;69.616;56.975;69.680;64.643;76.077,0.2698509866634205,-1.3883193236664486,-0.5842629260589668,-0.980655768107988,0.8731922105995521,0.3467843105628523,0.06315395081987972,-0.9908208493078109,1.4518813119284817,0.698066271403413,1.1268549479597463,1.942074717722214,79.606,51.552
1766248843.862955,8,101;102;103;104;200;201;202,35.507;71.615;68.765;56.491;70.732;65.573;76.066,0.2795604514694529,-1.3708810356999181,-0.5765332803062574,-0.9942549250854329,0.8699152054886246,0.3513124706133198,0.07654615763685556,-1.0031459784169792,1.4370674013194409,0.7010912631071909,1.12066803505584,1.960254250584076,78.794,52.331
1766248843.926711,9,101;102;103;104;200;201;202,34.259;70.416;68.209;57.256;70.373;64.994;75.982,0.28775551468131033,-1.357974827478507,-0.5705267784758647,-1.005657415678256,0.8672542897170131,0.3544516577126958,0.08618579602638322,-1.0121937027572878,1.425044735309663,0.7037004998543086,1.1158679811039092,1.9747340280513073,78.209,52.917
