frame,tag_id,X,Y,Z,roll,pitch,yaw
79,1,-0.11248926220598125,-0.011139360964362879,1.8607642926307388,-0.02470692362221033,-0.3630354793112762,0.09452169212549158
81,1,-0.10482058202903048,-0.0030165241792683463,1.8392996888102737,-0.030926540321456027,0.028296217535005254,0.11685774409641393
82,1,-0.10383809337886656,-0.003025492419740837,1.8371599622634296,-0.024543360066897266,0.025210281828759486,0.11386655253773903
83,1,-0.10172462410378005,-0.002937950076961477,1.8341184599015934,-0.014461306126047539,0.043850237112423945,0.11673003948740325
85,1,-0.10181406297253472,-0.0012413079468400826,1.8360101552580605,-0.032639890116189174,0.03436928554564616,0.11524209560505734
86,1,-0.10194242781463242,-0.0013009880743485892,1.8374456113039188,-0.030637085974295524,0.031140719958225545,0.11627566750538407
87,1,-0.10186249573470871,-0.0014968159323674214,1.8379456448104219,-0.023319008271732115,0.03844620201332384,0.11829626966928473
88,1,-0.10164766222079406,-0.0014718254768413333,1.8370670208848185,-0.017510022695079733,0.04169906221512686,0.12005471947300751
89,1,-0.10153082791250144,-0.0006227576606646738,1.8378034321355088,-0.04563639032162047,0.0107479628137715,0.11844925518905311
90,1,-0.10096879402904733,-0.0002126013008771077,1.8371427691483138,-0.03701298078105753,0.030691877420959787,0.1222094551254221
91,1,-0.100921604671473,-0.00022244963805761325,1.8378551852527936,-0.04414147758001321,0.027420483562089183,0.12214858956059887
92,1,-0.10084838080126883,-0.00017930652854290102,1.838277265594912,-0.03941049939452991,0.029133621418845644,0.12249259183015329
93,1,-0.10081613137160776,-8.530235787805596e-05,1.8379196072323878,-0.029368022568622115,0.03553073073874937,0.12248856342108395
94,1,-0.10112072864900642,-6.352870148874229e-06,1.838054004831078,-0.04367223372052628,0.028230154575847807,0.12036065627017951
95,1,-0.10087440197733967,0.0005880105607203277,1.8382608964409966,-0.039187105088027877,0.01553402414132028,0.11818918813308037
96,1,-0.10054437379440731,0.0009117667863619977,1.8379974042703489,-0.040176862885723634,0.026226251882462,0.11600758583527841
97,1,-0.10021624783700794,0.0011119590723190804,1.8380425827489535,-0.029183471044404694,0.03554493849378042,0.11575033363409097
98,1,-0.09957859955773747,0.0012462695885549352,1.8388102483769129,-0.03207108830409569,0.02904676810080974,0.11594438558961472
99,1,-0.0990755575809661,0.001591381464669802,1.8385245818955567,-0.022981914237116503,0.0399244818149714,0.1186379655953822
100,1,-0.09792108429105321,0.0019818864975359556,1.8350475249389693,-0.03689066945258229,0.03636467613946899,0.1165362803085055
101,1,-0.09662584425365409,0.002698483945304815,1.8303216339523534,-0.042505612003236666,0.02594754554393776,0.1167423688895224
129,1,-0.29462547955296775,-0.00015513853597957147,1.7620121621158247,0.23947190859771295,0.032596131104422665,-0.08211746965898997
130,1,-0.3041626436793025,0.0010974258397117099,1.7609836247837047,0.23285871569337516,0.04134886558679905,-0.08540767821962317
140,1,-0.31499940710263863,-0.0005248831938767561,1.7624360982851288,0.180496245295369,-0.1431964082586792,-0.11169735186690015
163,1,-0.11871589018959619,0.0005075444274596844,1.8391000904283348,-0.06320358298348924,0.1472318821589775,0.026814065123539472
164,1,-0.1171947425504196,0.0008717101934127627,1.846928172741413,-0.04566685651025987,-0.5203005183328554,0.03743507547719205
166,1,-0.11338331041615472,0.0005335838168345312,1.8505289235429618,0.011232208089939206,-0.6327421916234136,0.006460513266263393
170,1,-0.11116379607551376,0.002335194702368197,1.8717431093253583,-0.007962190396093036,-0.4321705915646333,0.014423680418470995
172,1,-0.10136630050732888,0.0028704179640693835,1.8408623847949217,-0.0724416304579144,-0.0336086761615611,0.06524960131670073
173,1,-0.10046885808882235,0.004366873982759572,1.8349117170934666,-0.07574376845524322,-0.02470914270415433,0.07564735163978555
174,1,-0.10117062648059044,0.004978669682778315,1.8332674292856086,-0.053800310196710666,-0.0060260909834607525,0.07598099921056949
175,1,-0.1011296846239698,0.005018227699503462,1.834380984368872,-0.07061590135607396,-0.0398311910166081,0.07518989105351749
176,1,-0.1007416499640926,0.005088051217164675,1.8343040187267623,-0.060880690378064754,-0.028460794329581245,0.07285239410067695
177,1,-0.10042338750656829,0.005581026573525296,1.8323587234041896,-0.06786104332577572,-0.0058258343254480515,0.07014671208631008
178,1,-0.10106590056273898,0.005684043220868299,1.8319794476933169,-0.05194511958465715,-0.0005969384169502052,0.072456814168054
179,1,-0.10112215844838034,0.005619003841350202,1.8314962710127913,-0.06345020450491605,-0.0073863489751415335,0.07076216099793443
180,1,-0.10082773710726092,0.005936157170273971,1.8301379215115405,-0.0635021834891133,0.012115759853159115,0.06974242625258333
181,1,-0.10099971954459194,0.006206048868054278,1.8322283249508804,-0.07059563825116934,-0.022257065012962863,0.07111069453366622
182,1,-0.10075585659908723,0.006528506923813009,1.831684376161387,-0.0652852030322081,-0.014927795887255993,0.07113494102536863
183,1,-0.10041292130091327,0.006721757541009628,1.8304983926728293,-0.05801039303683032,0.0024593759410236264,0.07362969927469518
184,1,-0.1004280157718852,0.007344510683695758,1.8307257953635627,-0.05344703036435221,-0.007410568850195604,0.07474788958695432
185,1,-0.10011930298187041,0.008299518127081856,1.828018180454559,-0.05422018930010334,0.0220136386261164,0.07242663612685515
186,1,-0.10016364025692005,0.008910736805587238,1.8287529755992544,-0.05581212425721145,-0.0036143969743682313,0.07484338376655303
187,1,-0.10025213097153267,0.008900407191022355,1.8285474492719507,-0.05182029755536327,-0.009499942121207737,0.07655152670808439
188,1,-0.10053266387340393,0.008604545902119001,1.8286511621938262,-0.05402140713368682,-0.008071008722300696,0.0760359931682392
189,1,-0.10000575979848238,0.008602010291348161,1.8260802452620264,-0.012115508214170727,0.03271341064199899,0.08935072424435252
190,1,-0.09948417807924904,0.009154173927342437,1.8237337507961282,0.043223997625176765,0.051517084801377656,0.10865910918664994
191,1,-0.09966376642862687,0.009460939506047053,1.8240493567504537,0.04597407046383128,0.055942954468167834,0.11649020811654481
192,1,-0.10006788715558908,0.009847025339774386,1.8230674072604764,0.03570285534775507,0.06581962604788637,0.11814982191859574
193,1,-0.09975951364668799,0.011155596622407001,1.8210805865281428,0.04745000200272222,0.066219941975251,0.12089763744736494
194,1,-0.09879491049284118,0.012074149792151736,1.8191696688711692,0.05414277733578815,0.0718310628222405,0.12282103249290918
195,1,-0.09856398410851851,0.012649657990771132,1.8181701627658184,0.0694764036239338,0.07884591189660083,0.12640569996125023
196,1,-0.09925548844369612,0.013834737347954379,1.8183645037597707,0.05733291189854215,0.06098259571292862,0.12308254379512033
197,1,-0.10023125121410531,0.014693109103422393,1.8183670020001443,0.043942515506646886,0.049222582552631344,0.11391926001241147
198,1,-0.10197214058800759,0.014877688562080504,1.820604978327756,0.014989679625629247,0.02351566783515746,0.10272419824971334
199,1,-0.10849479595047176,0.01368605085822917,1.8345038372539908,-0.03675048407434471,-0.07852966596724624,0.06975609148389926
200,1,-0.11363914646835518,0.0122765879770831,1.8368767105608788,0.060752517257075714,-0.47450627626215963,0.02115782244397522
201,1,-0.11669986404050216,0.012947127570847112,1.8461807940356907,-0.025277478671488975,-0.5194930797337861,-0.010156972582295766
202,1,-0.11699016059959765,0.015970210935825076,1.8488847771284687,-0.0891115313563077,-0.5182623365704713,0.023261877459442564
203,1,-0.11637517399281101,0.017323174394611604,1.839738558884991,0.018863211279432697,-0.5116478312757382,-0.0020067083682358067
204,1,-0.11827231003488432,0.016417003637411356,1.8414469573552807,0.01732289732120967,-0.5222184926889059,-0.01357705386355743
64,1,0.016447372154212297,0.10838228645951786,2.064473779360238,-0.47114061075863894,-0.5072467182762026,-0.3606850270927105
66,1,-0.01741307356689566,0.06207474287746886,2.0114250752570224,-0.16554880063791794,-0.10794353307375004,-0.438563383541715
67,1,-0.038938173794472467,0.04850044544686675,1.944030139306645,0.18058886429877663,0.20932090100029827,-0.3380898091382579
70,1,-0.11310991412176663,-0.020386403394107504,1.8689332211901026,0.07249411049988619,-0.40995318428787786,-0.12106954576912898
71,1,-0.11437994278378386,-0.01046865160248496,1.8870600688297423,-0.07659169866537395,-0.23132731202366041,0.0054524442255117975
72,1,-0.11928255657253269,-0.009661475739174596,1.8977178691141705,-0.029357022839137045,-0.3607666995775158,0.01922940327015014
73,1,-0.12240291265975234,-0.013838167666945938,1.8653274448964803,0.00403677210223858,0.2246634220114982,0.013347950869324722
74,1,-0.11714630406550924,-0.010638672829408106,1.87517263819537,-0.06511472611434015,-0.10678912706652628,0.027151073053328537
75,1,-0.10787344365858767,-0.007201252129274072,1.857502179605486,-0.08126819341053591,0.041495018476980394,0.02472544147087585
76,1,-0.09935771256704433,-0.0046458852264217206,1.840085322438909,0.04632325843681402,-0.5114049167031561,0.022710929077896656
77,1,-0.09555663068286237,-0.0029351519130466908,1.8386702158735346,0.04932926509724949,-0.5119919973451394,0.025326419190515367
78,1,-0.09309372364898381,-0.0016081733728839816,1.8377752021504923,0.04792800360349246,-0.513454865648321,0.030764810447875993
79,1,-0.09212090375751344,-0.0007501861407358881,1.8373320715973689,0.06030705283424502,-0.5106722639775821,0.02604589788484682
80,1,-0.09763680692425367,-0.0013985793392791816,1.86109632081568,-0.07290467999646531,-0.06624626089720345,0.022836263922307785
