stage,median_ms,pct_of_median_total
t_read_ms,13.635,20.61
t_gray_ms,0.306,0.46
t_detect_ms,49.760,75.20
t_reproj_ms,0.510,0.77
t_ransac_ms,1.341,2.03
t_fuse_ms,0.457,0.69
t_ekf_ms,0.000,0.00
t_hud_ms,0.000,0.00
t_log_ms,0.062,0.09
t_total_ms,66.173,100.00
